Code,1100450318,Category Code,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
6.01E+12,DRAGON ENERGY DRINK RED 500ML,22,PC,105,140,,EXCEPT,INCLUSIVE,DRINKS,,,,,,,
6.01E+12,DRAGON ENERGY DRINK BLUE 500ML,22,PC,105,140,,EXCEPT,INCLUSIVE,DRINKS,,,,,,,
6.30E+12,DRAGON ENERGY DRINK ORANGE 500ML,22,PC,105,140,,EXCEPT,INCLUSIVE,DRINKS,,,,,,,
6.30E+12,DRAGON ENERGY DRINK RED 500ML,22,PC,105,140,,EXCEPT,INCLUSIVE,DRINKS,,,,,,,
6.30E+12,FRUTESCA MANGO DRINK 330ML,22,PC,69,95,,EXCEPT,INCLUSIVE,DRINKS,,,,,,,
6.30E+12,FRUTESCA GUAVA DRINK 330ML,22,PC,69,95,,EXCEPT,INCLUSIVE,DRINKS,,,,,,,
6.30E+12,FRUTESCA TROPICAL DRINK 330ML,22,PC,69,95,,EXCEPT,INCLUSIVE,DRINKS,,,,,,,
6.30E+12,FRUTESCA PINEAPLE DRINK 330ML,22,PC,69,95,,EXCEPT,INCLUSIVE,DRINKS,,,,,,,
6.30E+12,FRUTESCA ORANGE DRINK 330ML,22,PC,69,95,,EXCEPT,INCLUSIVE,DRINKS,,,,,,,
9.02E+07,RED BULL ENERGY DRINK 250 ML,22,PC,151,165,,EXCEPT,INCLUSIVE,DRINKS,,,,,,,
